,0,1,2,3,4,5,6,7
action_1,0.14985359,0.08164691,0.16885053,0.0019665672,0.08817979,0.06761167,0.084744334,0.11639841
action_2,0.06641009,0.07805668,0.1138046,0.012070784,0.022564027,0.08683109,0.096581735,0.09965649
activity_1,0.20636687,0.1086322,0.11942587,0.18740582,0.17884476,0.18957914,0.13704501,0.18060954
activity_10,0.17619583,0.036126375,0.12508287,0.07075624,0.08748643,0.05057737,0.07957449,0.14140348
activity_2,0.17748354,0.13125981,0.16874915,0.07879301,0.08608174,0.18174449,0.11547868,0.12750572
activity_3,0.11268181,0.19412386,0.1538034,0.11699486,0.125999,0.12612551,0.15425684,0.070074014
activity_4,0.09940204,0.11940482,0.13298805,0.121566884,0.074674465,0.12116181,0.07898991,0.20151933
activity_5,0.12891655,0.10718694,0.14071271,0.05482206,0.09928145,0.16605726,0.089684896,0.1449364
activity_6,0.08160481,0.12534116,0.1138833,0.14428078,0.05508282,0.11078805,0.14940216,0.14892878
activity_7,0.10345096,0.15693797,0.123043105,0.055137616,0.06989196,0.10765315,0.14264224,0.09578366
activity_8,0.08501503,0.13328794,0.14365238,0.0393181,0.09225681,0.122398525,0.15771797,0.10808388
activity_9,0.070940554,0.01730015,0.15934789,0.10600313,0.09470167,0.05479972,0.18091935,0.075690195
episode_1,0.06755774,0.06754522,0.1221407,0.23331712,0.053336427,0.1828009,0.30082572,0.12954392
episode_2,0.08481768,0.11832632,0.17160644,0.14256978,0.14666048,0.105904356,0.072995804,0.048860963
episode_3,0.06328043,0.058597688,0.11656398,0.13743323,0.0555886,0.12500444,0.13328017,0.094010256
episode_4,0.10331901,0.070175394,0.14091589,0.046204023,0.0834781,0.08634311,0.11649525,0.06413049
episode_5,0.066227585,0.12091251,0.0732987,0.10448477,0.04936522,0.08106105,0.0773009,0.049154107
episode_6,0.095416725,0.02315818,0.066200145,0.08329286,0.08486736,0.09145346,0.07516399,0.07821336
exp_100,0.10507387,0.08978041,0.10584975,0.12522809,0.08126364,0.11765689,0.14026129,0.13397439
exp_50,0.18779565,0.11436762,0.22737072,0.11595091,0.10257718,0.13301075,0.20118307,0.18077517
mobility_1,0.0056807227,0.048149522,0.05084997,0.013815155,0.0131515125,0.018949721,0.037137724,0.04734967
mobility_2,0.006110802,0.03174545,0.043774176,0.012773652,0.027263649,0.013204247,0.041466963,0.039876036
mobility_3,0.029069735,0.044645213,0.03319925,0.01394999,0.014691856,0.029039776,0.0226594,0.022709511
mobility_4,0.01756068,0.026689446,0.038356982,0.0,0.014797953,0.02870985,0.033291,0.02788405
quiz_1,0.1489356,0.18077125,0.033014532,0.061479583,0.0765668,0.015733354,0.08398324,0.13699041
quiz_2,0.13255838,0.13871332,0.14123191,0.006501394,0.03599765,0.037964895,0.15939236,0.04877193
quiz_3,0.07584098,0.078248344,0.10102311,0.03663509,0.012043041,0.04364785,0.16100843,0.123242535
quiz_4,0.15342373,0.08061857,0.105087124,0.046017166,0.024161777,0.07716815,0.05086709,0.12521738
quiz_5,0.1703004,0.14295006,0.10037892,0.0036040065,0.03907632,0.09733608,0.10424898,0.023534648
quiz_6,0.08651683,0.1059303,0.12751243,0.013104468,0.04169737,0.02022333,0.21744722,0.061055064
streak_1,0.18906607,0.18081939,0.1621694,0.19799827,0.19636454,0.17602977,0.09999327,0.12122651
